id,cliente,canal,forma_pagamento,status,valor,data
1,Rebeca Castro,whatsapp,cartao,entregue,57.45,01/01/2024
2,Rebeca Castro,ifood,pix,cancelado,47.93,02/01/2024
3,Ana Souza,site,cartão,pendente,59.72,03/01/2024
4,Bruno Mello,ifood,cartao,,72.85,04/01/2024
5,Luana Martins,ifood,cartao,pendente,46.49,05/01/2024
6,Lucas Andrade,whatsapp,dinheiro,cancelado,46.49,06/01/2024
7,Luana Martins,site,dinheiro,cancelado,73.69,07/01/2024
8,Fernanda Rocha,site,cartão,pendente,61.51,08/01/2024
9,Rebeca Castro,site,pix,entregue,42.96,09/01/2024
10,Lucas Andrade,ifood,,entregue,58.14,10/01/2024
11,Fernanda Rocha,whatsapp,cartao,cancelado,43.05,11/01/2024
12,Fernanda Rocha,instagram,pix,cancelado,43.01,12/01/2024
13,Ana Souza,site,pix,cancelado,53.63,13/01/2024
14,Bruno Mello,site,pix,pendente,21.3,14/01/2024
15,Fernanda Rocha,site,dinheiro,cancelado,24.13,15/01/2024
16,Lucas Andrade,instagram,pix,pendente,41.57,16/01/2024
17,Carlos Lima,site,cartão,pendente,34.81,17/01/2024
18,Rebeca Castro,ifood,dinher,cancelado,54.71,18/01/2024
19,Bruno Mello,whatsapp,dinheiro,pendente,36.38,19/01/2024
20,Lucas Andrade,whatsapp,pix,pendente,28.82,20/01/2024
21,Fernanda Rocha,site,cartao,cancelado,71.98,21/01/2024
22,Luana Martins,whatsapp,dinheiro,pendente,46.61,22/01/2024
23,Bruno Mello,whatsapp,cartão,cancelado,51.01,23/01/2024
24,Bruno Mello,ifood,pix,pendente,28.63,24/01/2024
25,Fernanda Rocha,ifood,dinher,entregue,41.83,25/01/2024
26,Carlos Lima,instagram,pix,cancelado,51.66,26/01/2024
27,Luana Martins,ifood,dinher,entregue,32.74,27/01/2024
28,Lucas Andrade,site,cartão,entregue,55.64,28/01/2024
29,Fernanda Rocha,site,pix,entregue,40.99,29/01/2024
30,Fernanda Rocha,whatsapp,dinheiro,pendente,45.62,30/01/2024
31,Ana Souza,ifood,cartão,entregue,40.97,31/01/2024
32,Carlos Lima,insta,pix,cancelado,77.78,01/02/2024
33,Tiago Nunes,whatsapp,cartão,pendente,49.8,02/02/2024
34,Bruno Mello,site,dinheiro,pendente,34.13,03/02/2024
35,Ana Souza,site,cartão,cancelado,62.34,04/02/2024
36,Lucas Andrade,site,cartao,,31.69,05/02/2024
37,Carlos Lima,whatsapp,cartao,cancelado,53.13,06/02/2024
38,Fernanda Rocha,whatsapp,dinher,cancelado,20.6,07/02/2024
39,Lucas Andrade,insta,cartão,entregue,30.08,08/02/2024
40,Bruno Mello,ifood,pix,pendente,52.95,09/02/2024
41,Fernanda Rocha,whatsapp,dinher,entregue,61.08,10/02/2024
42,Tiago Nunes,insta,dinheiro,cancelado,52.57,11/02/2024
43,Tiago Nunes,ifood,pix,cancelado,48.27,12/02/2024
44,Luana Martins,ifood,cartao,entregue,45.48,13/02/2024
45,Ana Souza,ifood,pix,pendente,27.82,14/02/2024
46,Bruno Mello,whatsapp,pix,cancelado,39.2,15/02/2024
47,Tiago Nunes,instagram,dinheiro,entregue,43.09,16/02/2024
48,Fernanda Rocha,site,pix,entregue,65.86,17/02/2024
49,Rebeca Castro,whatsapp,,pendente,55.15,18/02/2024
50,Luana Martins,ifood,cartao,pendente,23.55,19/02/2024
51,Carlos Lima,instagram,dinheiro,entregue,54.86,20/02/2024
52,Bruno Mello,ifood,pix,cancelado,44.22,21/02/2024
53,Ana Souza,instagram,cartão,cancelado,39.85,22/02/2024
54,Ana Souza,ifood,pix,pendente,59.18,23/02/2024
55,Rebeca Castro,whatsapp,dinher,pendente,65.46,24/02/2024
56,Carlos Lima,whatsapp,pix,pendente,63.97,25/02/2024
57,Ana Souza,ifood,dinher,entregue,37.41,26/02/2024
58,Bruno Mello,site,pix,entregue,45.36,27/02/2024
59,Lucas Andrade,site,pix,pendente,54.97,28/02/2024
60,Carlos Lima,ifood,cartao,pendente,64.63,29/02/2024
61,Rebeca Castro,ifood,pix,pendente,42.81,01/03/2024
62,Fernanda Rocha,insta,cartão,pendente,47.22,02/03/2024
63,Bruno Mello,whatsapp,cartão,entregue,33.4,03/03/2024
64,Lucas Andrade,ifood,dinheiro,pendente,32.06,04/03/2024
65,Rebeca Castro,instagram,dinheiro,pendente,62.19,05/03/2024
66,Bruno Mello,insta,dinheiro,cancelado,70.34,06/03/2024
67,Rebeca Castro,instagram,dinheiro,cancelado,48.92,07/03/2024
68,Luana Martins,site,pix,cancelado,65.05,08/03/2024
69,Carlos Lima,whatsapp,cartão,entregue,55.42,09/03/2024
70,Fernanda Rocha,instagram,dinher,pendente,40.32,10/03/2024
71,Tiago Nunes,insta,pix,cancelado,55.42,11/03/2024
72,Carlos Lima,site,pix,pendente,73.07,12/03/2024
73,Carlos Lima,site,cartao,entregue,49.46,13/03/2024
74,Fernanda Rocha,site,dinher,cancelado,73.47,14/03/2024
75,Lucas Andrade,ifood,dinher,pendente,10.7,15/03/2024
76,Bruno Mello,site,cartao,entregue,62.33,16/03/2024
77,Ana Souza,ifood,pix,pendente,51.31,17/03/2024
78,Rebeca Castro,site,dinher,pendente,45.51,18/03/2024
79,Lucas Andrade,instagram,cartao,pendente,51.38,19/03/2024
80,Rebeca Castro,ifood,dinher,cancelado,20.19,20/03/2024
81,Lucas Andrade,site,dinher,cancelado,46.7,21/03/2024
82,Rebeca Castro,ifood,pix,pendente,55.36,22/03/2024
83,Bruno Mello,ifood,pix,pendente,72.17,23/03/2024
84,Lucas Andrade,instagram,dinheiro,cancelado,42.23,24/03/2024
85,Fernanda Rocha,ifood,dinheiro,cancelado,37.87,25/03/2024
86,Ana Souza,site,pix,pendente,42.47,26/03/2024
87,Carlos Lima,ifood,dinheiro,pendente,63.73,27/03/2024
88,Luana Martins,site,cartao,pendente,54.93,28/03/2024
89,Lucas Andrade,whatsapp,cartão,pendente,42.05,29/03/2024
90,Ana Souza,ifood,cartão,entregue,57.7,30/03/2024
91,Ana Souza,ifood,pix,pendente,51.46,31/03/2024
92,Fernanda Rocha,insta,pix,cancelado,64.53,01/04/2024
93,Luana Martins,ifood,pix,entregue,39.47,02/04/2024
94,Bruno Mello,ifood,dinheiro,cancelado,45.09,03/04/2024
95,Ana Souza,ifood,dinheiro,cancelado,44.12,04/04/2024
96,Rebeca Castro,whatsapp,dinher,entregue,28.05,05/04/2024
97,Bruno Mello,ifood,pix,pendente,54.44,06/04/2024
98,Lucas Andrade,ifood,pix,cancelado,53.92,07/04/2024
99,Luana Martins,ifood,dinheiro,cancelado,50.08,08/04/2024
100,Carlos Lima,ifood,cartão,cancelado,46.48,09/04/2024
101,Rebeca Castro,insta,dinher,entregue,28.77,10/04/2024
102,Bruno Mello,ifood,dinheiro,entregue,43.69,11/04/2024
103,Bruno Mello,insta,dinher,entregue,44.86,12/04/2024
104,Fernanda Rocha,ifood,cartao,cancelado,37.97,13/04/2024
105,Luana Martins,instagram,dinher,entregue,47.58,14/04/2024
106,Lucas Andrade,ifood,pix,cancelado,56.06,15/04/2024
107,Luana Martins,site,dinher,pendente,78.29,16/04/2024
108,Tiago Nunes,whatsapp,dinher,entregue,52.62,17/04/2024
109,Rebeca Castro,insta,pix,entregue,53.86,18/04/2024
110,Rebeca Castro,whatsapp,pix,cancelado,48.88,19/04/2024
111,Fernanda Rocha,site,pix,entregue,21.22,20/04/2024
112,Rebeca Castro,site,cartão,entregue,49.6,21/04/2024
113,Tiago Nunes,site,cartao,cancelado,50.9,22/04/2024
114,Ana Souza,whatsapp,dinher,pendente,86.95,23/04/2024
115,Ana Souza,whatsapp,pix,pendente,47.11,24/04/2024
116,Luana Martins,insta,dinher,entregue,54.52,25/04/2024
117,Fernanda Rocha,site,pix,cancelado,49.48,26/04/2024
118,Bruno Mello,whatsapp,dinher,pendente,32.47,27/04/2024
119,Bruno Mello,site,pix,pendente,67.14,28/04/2024
120,Bruno Mello,ifood,dinheiro,pendente,61.28,29/04/2024
121,Rebeca Castro,instagram,pix,pendente,61.87,30/04/2024
122,Bruno Mello,whatsapp,cartao,pendente,36.36,01/05/2024
123,Lucas Andrade,ifood,dinheiro,,71.04,02/05/2024
124,Fernanda Rocha,ifood,cartão,pendente,28.97,03/05/2024
125,Carlos Lima,whatsapp,cartão,,58.8,04/05/2024
126,Fernanda Rocha,whatsapp,pix,pendente,82.86,05/05/2024
127,Fernanda Rocha,ifood,dinheiro,cancelado,35.14,06/05/2024
128,Bruno Mello,ifood,pix,pendente,41.51,07/05/2024
129,Tiago Nunes,instagram,dinheiro,entregue,51.49,08/05/2024
130,Carlos Lima,insta,dinher,cancelado,42.45,09/05/2024
131,Ana Souza,whatsapp,,cancelado,26.74,10/05/2024
132,Ana Souza,ifood,cartão,entregue,51.03,11/05/2024
133,Fernanda Rocha,ifood,dinher,entregue,34.07,12/05/2024
134,Fernanda Rocha,insta,cartão,pendente,57.1,13/05/2024
135,Luana Martins,ifood,cartão,pendente,36.21,14/05/2024
136,Fernanda Rocha,,dinheiro,pendente,73.25,15/05/2024
137,Tiago Nunes,ifood,cartão,pendente,38.25,16/05/2024
138,Carlos Lima,ifood,cartão,entregue,45.17,17/05/2024
139,Fernanda Rocha,site,cartão,pendente,62.2,18/05/2024
140,Luana Martins,whatsapp,cartão,pendente,31.54,19/05/2024
141,Bruno Mello,insta,pix,cancelado,53.41,20/05/2024
142,Luana Martins,whatsapp,pix,pendente,69.61,21/05/2024
143,Luana Martins,site,pix,pendente,25.89,22/05/2024
144,Bruno Mello,ifood,dinheiro,entregue,52.77,23/05/2024
145,Bruno Mello,site,pix,pendente,53.9,24/05/2024
146,Lucas Andrade,ifood,pix,cancelado,61.73,25/05/2024
147,Ana Souza,instagram,cartão,pendente,31.45,26/05/2024
148,Ana Souza,instagram,cartão,cancelado,30.19,27/05/2024
149,Lucas Andrade,ifood,dinher,pendente,57.83,28/05/2024
150,Ana Souza,ifood,pix,entregue,54.45,29/05/2024
151,Tiago Nunes,ifood,pix,pendente,53.76,30/05/2024
152,Lucas Andrade,site,dinher,entregue,55.2,31/05/2024
153,Carlos Lima,ifood,cartao,pendente,39.8,01/06/2024
154,Luana Martins,ifood,dinher,pendente,53.48,02/06/2024
155,Carlos Lima,ifood,dinher,entregue,54.4,03/06/2024
156,Carlos Lima,whatsapp,dinher,cancelado,39.28,04/06/2024
157,Carlos Lima,ifood,cartão,entregue,77.99,05/06/2024
158,Rebeca Castro,whatsapp,cartao,entregue,57.11,06/06/2024
159,Ana Souza,ifood,pix,entregue,32.13,07/06/2024
160,Bruno Mello,ifood,pix,pendente,59.85,08/06/2024
161,Lucas Andrade,site,dinheiro,entregue,35.38,09/06/2024
162,Rebeca Castro,site,pix,entregue,61.81,10/06/2024
163,Bruno Mello,whatsapp,pix,cancelado,67.38,11/06/2024
164,Fernanda Rocha,whatsapp,dinheiro,cancelado,37.69,12/06/2024
165,Tiago Nunes,whatsapp,dinher,cancelado,64.45,13/06/2024
166,Fernanda Rocha,site,pix,entregue,56.19,14/06/2024
167,Tiago Nunes,ifood,pix,pendente,62.33,15/06/2024
168,Tiago Nunes,whatsapp,pix,entregue,78.45,16/06/2024
169,Carlos Lima,insta,cartão,pendente,46.32,17/06/2024
170,Tiago Nunes,ifood,dinheiro,entregue,38.69,18/06/2024
